experiment_id,experiment_title,epoch,epoch_amount,train_avg_loss,train_acc,test_avg_loss,test_acc,timestamp
1,wip_cifar_resnet_sgd,20,100,0.5112466328048706,0.8211200000000001,1.3246215343475343,0.6035,2019-12-02 11:43:49.408177

1,wip_cifar_resnet_sgd,21,100,0.48021404457092287,0.8319000000000001,1.0163477336883544,0.6796,2019-12-02 11:44:05.026788

1,wip_cifar_resnet_sgd,22,100,0.45700535568237305,0.8384,1.0677461232185363,0.6667000000000001,2019-12-02 11:44:20.747663

1,wip_cifar_resnet_sgd,23,100,0.42345668605804443,0.8514200000000001,1.191455874633789,0.6346,2019-12-02 11:44:36.460862

1,wip_cifar_resnet_sgd,24,100,0.39726244871139527,0.8615200000000001,1.329195622253418,0.6314000000000001,2019-12-02 11:44:52.072228

1,wip_cifar_resnet_sgd,25,100,0.36915318654060364,0.8707,2.9582405269622805,0.446,2019-12-02 11:45:07.869985

1,wip_cifar_resnet_sgd,26,100,0.34620113618850706,0.8794400000000001,1.6013744140625,0.5985,2019-12-02 11:45:23.669734

1,wip_cifar_resnet_sgd,27,100,0.31586697532653807,0.8914200000000001,1.3068327291488648,0.6238,2019-12-02 11:45:39.503090

1,wip_cifar_resnet_sgd,28,100,0.2995812231063843,0.8943200000000001,1.4416246315002441,0.6282,2019-12-02 11:45:55.253816

1,wip_cifar_resnet_sgd,29,100,0.2818348946285248,0.90058,1.5078802307128907,0.6026,2019-12-02 11:46:10.951526

1,wip_cifar_resnet_sgd,30,100,0.25788288610458376,0.91202,2.265250752258301,0.5594,2019-12-02 11:46:26.915692

1,wip_cifar_resnet_sgd,31,100,0.23632188393592835,0.91854,1.3524374685287475,0.645,2019-12-02 11:46:42.688350

1,wip_cifar_resnet_sgd,32,100,0.21345239399909974,0.92756,1.9687856081008912,0.5985,2019-12-02 11:46:58.384646

1,wip_cifar_resnet_sgd,33,100,0.19120567606925964,0.9360600000000001,2.0141200662612917,0.5909,2019-12-02 11:47:14.108582

1,wip_cifar_resnet_sgd,34,100,0.1777645828151703,0.9404800000000001,1.5662846130371093,0.6351,2019-12-02 11:47:29.827256

1,wip_cifar_resnet_sgd,35,100,0.15627172510147094,0.94808,2.524639098358154,0.5522,2019-12-02 11:47:45.555798

1,wip_cifar_resnet_sgd,36,100,0.15355208847999574,0.9486000000000001,3.806520859146118,0.49520000000000003,2019-12-02 11:48:01.243642

1,wip_cifar_resnet_sgd,37,100,0.13123062562942506,0.95708,2.8131982810974123,0.5451,2019-12-02 11:48:17.122259

1,wip_cifar_resnet_sgd,38,100,0.11061845963478088,0.96586,3.0280114475250244,0.5131,2019-12-02 11:48:32.997424

1,wip_cifar_resnet_sgd,39,100,0.11350615914106368,0.96286,1.5853478693008423,0.6814,2019-12-02 11:48:48.799541

1,wip_cifar_resnet_sgd,40,100,0.09118298158884049,0.9713400000000001,1.6740204097747802,0.6666000000000001,2019-12-02 11:49:04.550905

1,wip_cifar_resnet_sgd,41,100,0.07196583174467087,0.9800000000000001,3.061437406158447,0.55,2019-12-02 11:49:20.334797

1,wip_cifar_resnet_sgd,42,100,0.08369217678546906,0.9738000000000001,2.8378398639678957,0.5686,2019-12-02 11:49:36.093438

1,wip_cifar_resnet_sgd,43,100,0.08362755813121796,0.9737600000000001,4.1825072265625,0.5048,2019-12-02 11:49:51.921652

1,wip_cifar_resnet_sgd,44,100,0.0697694373703003,0.9792200000000001,2.7212056390762327,0.5770000000000001,2019-12-02 11:50:07.822899

1,wip_cifar_resnet_sgd,45,100,0.06854915820240974,0.97906,1.7914965133666991,0.6646000000000001,2019-12-02 11:50:23.969709

1,wip_cifar_resnet_sgd,46,100,0.038351765422821045,0.99084,1.616498846244812,0.6848000000000001,2019-12-02 11:50:39.813255

1,wip_cifar_resnet_sgd,47,100,0.03057223352432251,0.99348,1.7248236740112304,0.6745,2019-12-02 11:50:55.834232

1,wip_cifar_resnet_sgd,48,100,0.019641997389793397,0.99726,1.4199743034362793,0.7130000000000001,2019-12-02 11:51:11.776224

1,wip_cifar_resnet_sgd,49,100,0.010903383512198925,0.9993400000000001,1.5099735822677611,0.7050000000000001,2019-12-02 11:51:27.674649

1,wip_cifar_resnet_sgd,50,100,0.007910481705069541,0.99972,1.5276139883041382,0.7087,2019-12-02 11:51:43.558609

1,wip_cifar_resnet_sgd,51,100,0.005731746991872787,0.9998400000000001,2.3596753005981443,0.6435000000000001,2019-12-02 11:51:59.449645

1,wip_cifar_resnet_sgd,52,100,0.005879332694411278,0.99982,1.6537285762786864,0.6967,2019-12-02 11:52:15.295614

1,wip_cifar_resnet_sgd,53,100,0.0048400757020711895,0.9999000000000001,1.573222541809082,0.7063,2019-12-02 11:52:31.174646

1,wip_cifar_resnet_sgd,54,100,0.0043548969934880735,0.99994,1.511069947242737,0.7149,2019-12-02 11:52:47.065648

1,wip_cifar_resnet_sgd,55,100,0.0035716207122802736,0.9999600000000001,1.5233637582778932,0.7159,2019-12-02 11:53:02.950645

